0,1,2,3,4,5,6,7,8,9,10,11
109,DAC,Danaos Corporation,https://stockanalysis.com/stocks/dac/,28.79,2.55,$3.20 (4.35%),2006,260.01%,73.51,"64,866",1.43B
110,CIVI,"Civitas Resources, Inc.",https://stockanalysis.com/stocks/civi/,9.02,7.65,$5.01 (7.27%),2011,258.72%,68.88,"437,786",6.46B
111,QUIK,QuickLogic Corporation,https://stockanalysis.com/stocks/quik/,-0.28,n/a,n/a,1997,257.03%,13.83,"62,626",193.21M
112,MUR,Murphy Oil Corporation,https://stockanalysis.com/stocks/mur/,4.74,9.09,$1.10 (2.57%),Roger W. Jenkins,253.77%,42.81,"620,902",6.61B
113,PFMT,Performant Financial Corporation,https://stockanalysis.com/stocks/pfmt/,-0.12,n/a,n/a,2012,253.33%,3.18,"153,211",244.08M
114,NR,"Newpark Resources, Inc.",https://stockanalysis.com/stocks/nr/,0.27,24.63,n/a,1932,251.85%,6.65,"402,218",565.84M
115,COKE,"Coca-Cola Consolidated, Inc.",https://stockanalysis.com/stocks/coke/,48.00,19.37,$1.50 (0.16%),J. Frank Harrison III,250.92%,932.38,"17,092",8.73B
116,YPF,YPF SA,https://stockanalysis.com/stocks/ypf/,5.67,21.75,n/a,1993,249.39%,17.21,"1,493,825",7.86B
117,LLY,Eli Lilly and Company,https://stockanalysis.com/stocks/lly/,5.52,105.92,$5.20 (0.89%),1876,249.10%,582.68,"1,032,746",553.15B
118,FLNG,FLEX LNG Ltd.,https://stockanalysis.com/stocks/flng/,2.64,11.06,$3.37 (11.62%),2006,246.31%,28.99,"189,447",1.56B
119,OXY,Occidental Petroleum Corporation,https://stockanalysis.com/stocks/oxy/,4.59,13.04,$0.72 (1.21%),1920,245.82%,59.67,"4,233,295",52.36B
120,PDS,Precision Drilling Corporation,https://stockanalysis.com/stocks/pds/,6.76,8.06,n/a,"Kevin A. Neveu B.Sc., P.Eng",241.14%,54.31,"38,247",792.26M
101,TIPT,Tiptree Inc.,https://stockanalysis.com/stocks/tipt/,0.20,93.90,$0.20 (1.06%),2007,240.74%,6.45,"4,251,022",2.53B
122,CEPU,Central Puerto S.A.,https://stockanalysis.com/stocks/cepu/,0.16,n/a,$0.81 (8.94%),2018,239.54%,9.08,"291,154",1.57B
123,NUE,Nucor Corporation,https://stockanalysis.com/stocks/nue/,19.77,8.80,$2.16 (1.24%),Leon J. Topalian,233.93%,174.37,"471,131",42.84B
124,QRHC,Quest Resource Holding Corporation,https://stockanalysis.com/stocks/qrhc/,-0.41,n/a,n/a,S. Ray Hatch,233.18%,7.36,"12,294",147.64M
125,TK,Teekay Corporation,https://stockanalysis.com/stocks/tk/,1.54,4.81,n/a,1995,232.56%,7.18,"356,987",652.56M
126,TRGP,Targa Resources Corp.,https://stockanalysis.com/stocks/trgp/,3.82,22.60,$2.00 (2.31%),2010,231.43%,86.77,"524,054",19.35B
127,ENLC,"EnLink Midstream, LLC",https://stockanalysis.com/stocks/enlc/,0.63,19.40,$0.50 (4.11%),2013,230.30%,12.18,"602,708",5.56B
128,ANET,"Arista Networks, Inc.",https://stockanalysis.com/stocks/anet/,6.00,39.18,n/a,2014,228.33%,235.90,"464,170",73.40B
129,TRNS,"Transcat, Inc.",https://stockanalysis.com/stocks/trns/,1.13,97.43,n/a,1964,227.56%,110.46,"16,364",975.48M
130,ONTO,Onto Innovation Inc.,https://stockanalysis.com/stocks/onto/,3.19,48.37,n/a,1940,227.43%,153.98,"66,530",7.56B
131,CUBI,"Customers Bancorp, Inc.",https://stockanalysis.com/stocks/cubi/,6.31,9.44,n/a,2012,227.38%,58.26,"141,547",1.83B
132,EDRY,EuroDry Ltd.,https://stockanalysis.com/stocks/edry/,1.10,18.07,n/a,2018,227.35%,19.19,"11,643",52.77M
133,VKTX,"Viking Therapeutics, Inc.",https://stockanalysis.com/stocks/vktx/,-0.93,n/a,n/a,2015,227.17%,18.60,"1,798,579",1.86B
134,FANG,"Diamondback Energy, Inc.",https://stockanalysis.com/stocks/fang/,17.62,8.82,$0.84 (0.54%),2012,226.12%,155.07,"681,599",27.76B
135,CAMT,Camtek Ltd.,https://stockanalysis.com/stocks/camt/,1.65,42.31,n/a,2000,223.94%,69.72,"223,546",3.13B
136,STLD,"Steel Dynamics, Inc.",https://stockanalysis.com/stocks/stld/,15.69,7.57,$1.70 (1.44%),1996,223.89%,118.29,"471,898",19.12B
137,XENE,Xenon Pharmaceuticals Inc.,https://stockanalysis.com/stocks/xene/,-2.65,n/a,n/a,2014,221.93%,46.23,"346,812",3.42B
138,CCJ,Cameco Corporation,https://stockanalysis.com/stocks/ccj/,0.17,259.20,$0.09 (0.20%),Timothy S. Gitzel,220.37%,43.20,"1,983,445",18.74B
139,FRO,Frontline Ltd.,https://stockanalysis.com/stocks/fro/,3.52,5.67,$2.87 (14.32%),Lars H. Barstad,218.50%,20.04,"1,427,207",4.46B
140,SAVA,"Cassava Sciences, Inc.",https://stockanalysis.com/stocks/sava/,-2.29,n/a,n/a,1998,217.71%,22.37,"497,047",944.70M
121,UEC,Uranium Energy Corp.,https://stockanalysis.com/stocks/uec/,0.01,645.50,n/a,Amir Adnani,216.76%,66.18,"625,241",4.91B
142,OVV,Ovintiv Inc.,https://stockanalysis.com/stocks/ovv/,10.02,4.44,$1.20 (2.73%),Brendan Michael McCracken,215.46%,43.96,"783,332",12.00B
143,SB,"Safe Bulkers, Inc.",https://stockanalysis.com/stocks/sb/,1.36,6.02,$0.20 (5.10%),2008,212.60%,3.92,"1,125,513",437.70M
144,CVLG,"Covenant Logistics Group, Inc.",https://stockanalysis.com/stocks/cvlg/,3.98,11.61,$0.44 (0.95%),1994,212.07%,46.23,"29,159",598.53M
145,EVTV,"Envirotech Vehicles, Inc.",https://stockanalysis.com/stocks/evtv/,-3.19,n/a,n/a,2017,211.91%,1.33,"18,994",20.62M
